ID,first_name,sales,sale_date
1,Lindsey,32.02,2007-03-12
2,Nicole,26.53,2007-03-12
3,Britney,11.25,2007-03-12
4,Ashley,18.96,2007-03-12
5,Lindsey,9.16,2007-03-11
6,Nicole,1.52,2007-03-11
7,Britney,43.21,2007-03-11
8,Ashley,8.05,2007-03-11
9,Lindsey,17.62,2007-03-10
10,Nicole,24.19,2007-03-10
11,Britney,3.40,2007-03-10
12,Ashley,15.21,2007-03-10
13,Lindsey,0.00,2007-03-09
14,Nicole,31.99,2007-03-09
15,Britney,2.58,2007-03-09
16,Ashley,0.00,2007-03-09
17,Lindsey,2.34,2007-03-08
18,Nicole,13.44,2007-03-08
19,Britney,8.78,2007-03-08
20,Ashley,26.82,2007-03-08
21,Lindsey,3.71,2007-03-07
22,Nicole,0.56,2007-03-07
23,Britney,34.19,2007-03-07
24,Ashley,7.77,2007-03-07
25,Lindsey,16.23,2007-03-06
26,Nicole,0.00,2007-03-06
27,Britney,4.50,2007-03-06
28,Ashley,19.22,2007-03-06
